TimeP,ID,Memory,MeasureT,Tank
W2,S8_H_N_7,1013,T1,H2
W2,S8_H_N_8,1014,T1,H2
W2,S8_H_T_7,1015,T1,H2
W2,S8_H_T_8,1016,T1,H2
W2,K8_H_N_8,1018,T1,H2
W2,K8_H_N_7,1019,T1,H2
W2,K8_H_T_7,1020,T1,H2
W2,K8_H_T_8,1021,T1,H2
W2,K10_H_N_7,1023,T1,H2
W2,K10_H_N_8,1024,T1,H2
W2,K10_H_T_7,1025,T1,H2
W2,K10_H_T_8,1027,T1,H2
W2,S10_H_N_8,1029,T1,H2
W2,S10_H_N_7,1030,T1,H2
W2,S10_H_T_8,1031,T1,H2
W2,S10_H_T_7,1032,T1,H2
W2,K12_H_T_8,1034,T1,H2
W2,K12_H_T_7,1035,T1,H2
W2,K12_H_N_8,1036,T1,H2
W2,K12_H_N_7,1038,T1,H2
W2,S12_H_T_8,1040,T1,H2
W2,S12_H_T_7,1041,T1,H2
W2,S12_H_N_8,1042,T1,H2
W2,S12_H_N_7,1043,T1,H2
W2,S8_H_N_7,1143,T2,H2
W2,S8_H_N_8,1144,T2,H2
W2,S8_H_T_7,1146,T2,H2
W2,S8_H_T_8,1147,T2,H2
W2,K8_H_N_8,1149,T2,H2
W2,K8_H_N_7,1150,T2,H2
W2,K8_H_T_7,1152,T2,H2
W2,K8_H_T_8,1153,T2,H2
W2,K10_H_N_7,1155,T2,H2
W2,K10_H_N_8,1156,T2,H2
W2,K10_H_T_7,1157,T2,H2
W2,K10_H_T_8,1158,T2,H2
W2,S10_H_N_8,1160,T2,H2
W2,S10_H_N_7,1161,T2,H2
W2,S10_H_T_8,1162,T2,H2
W2,S10_H_T_7,1163,T2,H2
W2,K12_H_T_8,1165,T2,H2
W2,K12_H_T_7,1166,T2,H2
W2,K12_H_N_8,1167,T2,H2
W2,K12_H_N_7,1168,T2,H2
W2,S12_H_T_8,1170,T2,H2
W2,S12_H_T_7,1171,T2,H2
W2,S12_H_N_8,1172,T2,H2
W2,S12_H_N_7,1173,T2,H2
W2,S8_H_N_7,1273,T3,H2
W2,S8_H_N_8,1274,T3,H2
W2,S8_H_T_7,1275,T3,H2
W2,S8_H_T_8,1276,T3,H2
W2,K8_H_N_8,1278,T3,H2
W2,K8_H_N_7,1279,T3,H2
W2,K8_H_T_7,1280,T3,H2
W2,K8_H_T_8,1281,T3,H2
W2,K10_H_N_7,1283,T3,H2
W2,K10_H_N_8,1284,T3,H2
W2,K10_H_T_7,1285,T3,H2
W2,K10_H_T_8,1286,T3,H2
W2,S10_H_N_8,1288,T3,H2
W2,S10_H_N_7,1289,T3,H2
W2,S10_H_T_8,1290,T3,H2
W2,S10_H_T_7,1291,T3,H2
W2,K12_H_T_8,1293,T3,H2
W2,K12_H_T_7,1294,T3,H2
W2,K12_H_N_8,1295,T3,H2
W2,K12_H_N_7,1296,T3,H2
W2,S12_H_T_8,1298,T3,H2
W2,S12_H_T_7,1299,T3,H2
W2,S12_H_N_8,1300,T3,H2
W2,S12_H_N_7,1301,T3,H2
W2,S8_H_T_6,1046,T1,H1
W2,S8_H_T_5,1047,T1,H1
W2,S8_H_N_6,1084,T1,H1
W2,S8_H_N_5,1049,T1,H1
W2,K8_H_N_5,1051,T1,H1
W2,K8_H_N_6,1052,T1,H1
W2,K8_H_T_6,1053,T1,H1
W2,K8_H_T_5,1054,T1,H1
W2,K10_H_N_5,1056,T1,H1
W2,K10_H_N_6,1057,T1,H1
W2,K10_H_T_5,1058,T1,H1
W2,K10_H_T_6,1059,T1,H1
W2,S10_H_N_6,1061,T1,H1
W2,S10_H_N_5,1062,T1,H1
W2,S10_H_T_5,1063,T1,H1
W2,S10_H_T_6,1064,T1,H1
W2,S12_H_T_5,1066,T1,H1
W2,S12_H_T_6,1068,T1,H1
W2,S12_H_N_6,1069,T1,H1
W2,S12_H_N_5,1070,T1,H1
W2,K12_H_N_5,1072,T1,H1
W2,K12_H_N_6,1073,T1,H1
W2,K12_H_T_5,1074,T1,H1
W2,K12_H_T_6,1075,T1,H1
W2,S8_H_T_6,1176,T2,H1
W2,S8_H_T_5,1177,T2,H1
W2,S8_H_N_6,1178,T2,H1
W2,S8_H_N_5,1179,T2,H1
W2,K8_H_N_5,1181,T2,H1
W2,K8_H_N_6,1182,T2,H1
W2,K8_H_T_6,1183,T2,H1
W2,K8_H_T_5,1184,T2,H1
W2,K10_H_N_5,1186,T2,H1
W2,K10_H_N_6,1187,T2,H1
W2,K10_H_T_5,1188,T2,H1
W2,K10_H_T_6,1189,T2,H1
W2,S10_H_N_6,1191,T2,H1
W2,S10_H_N_5,1192,T2,H1
W2,S10_H_T_5,1193,T2,H1
W2,S10_H_T_6,1194,T2,H1
W2,S12_H_T_5,1196,T2,H1
W2,S12_H_T_6,1197,T2,H1
W2,S12_H_N_6,1198,T2,H1
W2,S12_H_N_5,1199,T2,H1
W2,K12_H_N_5,1201,T2,H1
W2,K12_H_N_6,1202,T2,H1
W2,K12_H_T_5,1203,T2,H1
W2,K12_H_T_6,1204,T2,H1
W2,S8_H_T_6,1304,T3,H1
W2,S8_H_T_5,1305,T3,H1
W2,S8_H_N_6,1308,T3,H1
W2,S8_H_N_5,1309,T3,H1
W2,K8_H_N_5,1311,T3,H1
W2,K8_H_N_6,1312,T3,H1
W2,K8_H_T_6,1313,T3,H1
W2,K8_H_T_5,1315,T3,H1
W2,K10_H_N_5,1317,T3,H1
W2,K10_H_N_6,1318,T3,H1
W2,K10_H_T_5,1319,T3,H1
W2,K10_H_T_6,1320,T3,H1
W2,S10_H_N_6,1322,T3,H1
W2,S10_H_N_5,1323,T3,H1
W2,S10_H_T_5,1324,T3,H1
W2,S10_H_T_6,1325,T3,H1
W2,S12_H_T_5,1327,T3,H1
W2,S12_H_T_6,1328,T3,H1
W2,S12_H_N_6,1329,T3,H1
W2,S12_H_N_5,1330,T3,H1
W2,K12_H_N_5,1332,T3,H1
W2,K12_H_N_6,1333,T3,H1
W2,K12_H_T_5,1334,T3,H1
W2,K12_H_T_6,1335,T3,H1
W2,S8_C_N_6,1078,T1,C1
W2,S8_C_N_5,1079,T1,C1
W2,S8_C_T_6,1080,T1,C1
W2,S8_C_T_5,1081,T1,C1
W2,K8_C_N_5,1083,T1,C1
W2,K8_C_N_6,1084,T1,C1
W2,K8_C_T_5,1085,T1,C1
W2,K8_C_T_6,1086,T1,C1
W2,K10_C_T_6,1088,T1,C1
W2,K10_C_T_5,1089,T1,C1
W2,K10_C_N_6,1090,T1,C1
W2,K10_C_N_5,1091,T1,C1
W2,S10_C_T_6,1093,T1,C1
W2,S10_C_T_5,1094,T1,C1
W2,S10_C_N_5,1095,T1,C1
W2,S10_C_N_6,1096,T1,C1
W2,K12_C_N_6,1098,T1,C1
W2,K12_C_N_5,1099,T1,C1
W2,K12_C_T_6,1100,T1,C1
W2,K12_C_T_5,1101,T1,C1
W2,S12_C_N_6,1103,T1,C1
W2,S12_C_N_5,1104,T1,C1
W2,S12_C_T_6,1105,T1,C1
W2,S12_C_T_5,1107,T1,C1
W2,S8_C_N_6,1207,T2,C1
W2,S8_C_N_5,1208,T2,C1
W2,S8_C_T_6,1209,T2,C1
W2,S8_C_T_5,1210,T2,C1
W2,K8_C_N_5,1212,T2,C1
W2,K8_C_N_6,1213,T2,C1
W2,K8_C_T_5,1214,T2,C1
W2,K8_C_T_6,1215,T2,C1
W2,K10_C_T_6,1217,T2,C1
W2,K10_C_T_5,1218,T2,C1
W2,K10_C_N_6,1219,T2,C1
W2,K10_C_N_5,1220,T2,C1
W2,S10_C_T_6,1222,T2,C1
W2,S10_C_T_5,1223,T2,C1
W2,S10_C_N_5,1224,T2,C1
W2,S10_C_N_6,1225,T2,C1
W2,K12_C_N_6,1227,T2,C1
W2,K12_C_N_5,1228,T2,C1
W2,K12_C_T_6,1229,T2,C1
W2,K12_C_T_5,1230,T2,C1
W2,S12_C_N_6,1231,T2,C1
W2,S12_C_N_5,1232,T2,C1
W2,S12_C_T_6,1233,T2,C1
W2,S12_C_T_5,1234,T2,C1
W2,S8_C_N_6,1338,T3,C1
W2,S8_C_N_5,1338,T3,C1
W2,S8_C_T_6,1340,T3,C1
W2,S8_C_T_5,1341,T3,C1
W2,K8_C_N_5,1343,T3,C1
W2,K8_C_N_6,1344,T3,C1
W2,K8_C_T_5,1345,T3,C1
W2,K8_C_T_6,1346,T3,C1
W2,K10_C_T_6,1348,T3,C1
W2,K10_C_T_5,1349,T3,C1
W2,K10_C_N_6,1350,T3,C1
W2,K10_C_N_5,1351,T3,C1
W2,S10_C_T_6,1353,T3,C1
W2,S10_C_T_5,1354,T3,C1
W2,S10_C_N_5,1355,T3,C1
W2,S10_C_N_6,1356,T3,C1
W2,K12_C_N_6,1358,T3,C1
W2,K12_C_N_5,1359,T3,C1
W2,K12_C_T_6,1360,T3,C1
W2,K12_C_T_5,1361,T3,C1
W2,S12_C_N_6,1363,T3,C1
W2,S12_C_N_5,1364,T3,C1
W2,S12_C_T_6,1365,T3,C1
W2,S12_C_T_5,1366,T3,C1
W2,K8_C_N_7,1110,T1,C2
W2,K8_C_N_8,1111,T1,C2
W2,K8_C_T_7,1112,T1,C2
W2,K8_C_T_8,1113,T1,C2
W2,S8_C_T_7,1115,T1,C2
W2,S8_C_T_8,1116,T1,C2
W2,S8_C_N_7,1117,T1,C2
W2,S8_C_N_8,1118,T1,C2
W2,K10_C_N_7,1120,T1,C2
W2,K10_C_N_8,1121,T1,C2
W2,K10_C_T_7,1122,T1,C2
W2,K10_C_T_8,1123,T1,C2
W2,S10_C_N_7,1125,T1,C2
W2,S10_C_N_8,1126,T1,C2
W2,S10_C_T_8,1127,T1,C2
W2,S10_C_T_7,1128,T1,C2
W2,K12_C_T_7,1130,T1,C2
W2,K12_C_T_8,1131,T1,C2
W2,K12_C_N_7,1133,T1,C2
W2,K12_C_N_8,1134,T1,C2
W2,S12_C_N_8,1136,T1,C2
W2,S12_C_N_7,1137,T1,C2
W2,S12_C_T_7,1138,T1,C2
W2,S12_C_T_8,1139,T1,C2
W2,K8_C_N_7,1237,T2,C2
W2,K8_C_N_8,1238,T2,C2
W2,K8_C_T_7,1239,T2,C2
W2,K8_C_T_8,1240,T2,C2
W2,S8_C_T_7,1242,T2,C2
W2,S8_C_T_8,1243,T2,C2
W2,S8_C_N_7,1244,T2,C2
W2,S8_C_N_8,1245,T2,C2
W2,K10_C_N_7,1247,T2,C2
W2,K10_C_N_8,1248,T2,C2
W2,K10_C_T_7,1249,T2,C2
W2,K10_C_T_8,1250,T2,C2
W2,S10_C_N_7,1253,T2,C2
W2,S10_C_N_8,1254,T2,C2
W2,S10_C_T_8,1255,T2,C2
W2,S10_C_T_7,1256,T2,C2
W2,K12_C_T_7,1258,T2,C2
W2,K12_C_T_8,1259,T2,C2
W2,K12_C_N_7,1260,T2,C2
W2,K12_C_N_8,1262,T2,C2
W2,S12_C_N_8,1264,T2,C2
W2,S12_C_N_7,1265,T2,C2
W2,S12_C_T_7,1266,T2,C2
W2,S12_C_T_8,1268,T2,C2
W2,K8_C_N_7,1368,T3,C2
W2,K8_C_N_8,1369,T3,C2
W2,K8_C_T_7,1370,T3,C2
W2,K8_C_T_8,1371,T3,C2
W2,S8_C_T_7,1373,T3,C2
W2,S8_C_T_8,1374,T3,C2
W2,S8_C_N_7,1375,T3,C2
W2,S8_C_N_8,1376,T3,C2
W2,K10_C_N_7,1378,T3,C2
W2,K10_C_N_8,1379,T3,C2
W2,K10_C_T_7,1380,T3,C2
W2,K10_C_T_8,1381,T3,C2
W2,S10_C_N_7,1383,T3,C2
W2,S10_C_N_8,1384,T3,C2
W2,S10_C_T_8,1385,T3,C2
W2,S10_C_T_7,1386,T3,C2
W2,K12_C_T_7,1388,T3,C2
W2,K12_C_T_8,1389,T3,C2
W2,K12_C_N_7,1390,T3,C2
W2,K12_C_N_8,1391,T3,C2
W2,S12_C_N_8,1393,T3,C2
W2,S12_C_N_7,1394,T3,C2
W2,S12_C_T_7,1395,T3,C2
W2,S12_C_T_8,1396,T3,C2
M1,K8_C_T_10,1464,T1,C1
M1,K8_C_T_9,1465,T1,C1
M1,K8_C_N_10,1466,T1,C1
M1,K8_C_N_9,1467,T1,C1
M1,S8_C_N_9,1469,T1,C1
M1,S8_C_N_10,1470,T1,C1
M1,S8_C_T_9,1471,T1,C1
M1,S8_C_T_10,1472,T1,C1
M1,K10_C_N_9,1474,T1,C1
M1,K10_C_N_10,1475,T1,C1
M1,K10_C_T_9,1476,T1,C1
M1,K10_C_T_10,1477,T1,C1
M1,S10_C_T_9,1479,T1,C1
M1,S10_C_T_10,1480,T1,C1
M1,S10_C_N_10,1481,T1,C1
M1,S10_C_N_9,1482,T1,C1
M1,K12_C_N_10,1484,T1,C1
M1,K12_C_T_10,1485,T1,C1
M1,K12_C_N_9,1486,T1,C1
M1,K12_C_T_9,1487,T1,C1
M1,S12_C_N_9,1489,T1,C1
M1,S12_C_N_10,1490,T1,C1
M1,S12_C_T_9,1491,T1,C1
M1,S12_C_T_10,1492,T1,C1
M1,K8_C_T_10,1590,T2,C1
M1,K8_C_T_9,1591,T2,C1
M1,K8_C_N_10,1592,T2,C1
M1,K8_C_N_9,1593,T2,C1
M1,S8_C_N_9,1595,T2,C1
M1,S8_C_N_10,1596,T2,C1
M1,S8_C_T_9,1597,T2,C1
M1,S8_C_T_10,1598,T2,C1
M1,K10_C_N_9,1600,T2,C1
M1,K10_C_N_10,1601,T2,C1
M1,K10_C_T_9,1602,T2,C1
M1,K10_C_T_10,1603,T2,C1
M1,S10_C_T_9,1605,T2,C1
M1,S10_C_T_10,1606,T2,C1
M1,S10_C_N_10,1607,T2,C1
M1,S10_C_N_9,1608,T2,C1
M1,K12_C_N_10,1610,T2,C1
M1,K12_C_T_10,1611,T2,C1
M1,K12_C_N_9,1612,T2,C1
M1,K12_C_T_9,1614,T2,C1
M1,S12_C_N_9,1615,T2,C1
M1,S12_C_N_10,1617,T2,C1
M1,S12_C_T_9,1618,T2,C1
M1,S12_C_T_10,1619,T2,C1
M1,K8_C_T_10,1718,T3,C1
M1,K8_C_T_9,1719,T3,C1
M1,K8_C_N_10,1720,T3,C1
M1,K8_C_N_9,1721,T3,C1
M1,S8_C_N_9,1723,T3,C1
M1,S8_C_N_10,1724,T3,C1
M1,S8_C_T_9,1725,T3,C1
M1,S8_C_T_10,1726,T3,C1
M1,K10_C_N_9,1728,T3,C1
M1,K10_C_N_10,1729,T3,C1
M1,K10_C_T_9,1730,T3,C1
M1,K10_C_T_10,1731,T3,C1
M1,S10_C_T_9,1733,T3,C1
M1,S10_C_T_10,1734,T3,C1
M1,S10_C_N_10,1735,T3,C1
M1,S10_C_N_9,1737,T3,C1
M1,K12_C_N_10,1739,T3,C1
M1,K12_C_T_10,1740,T3,C1
M1,K12_C_N_9,1741,T3,C1
M1,K12_C_T_9,1742,T3,C1
M1,S12_C_N_9,1744,T3,C1
M1,S12_C_N_10,1745,T3,C1
M1,S12_C_T_9,1746,T3,C1
M1,S12_C_T_10,1747,T3,C1
M1,K8_H_T_9,1432,T1,H1
M1,K8_H_T_10,1433,T1,H1
M1,K8_H_N_9,1434,T1,H1
M1,K8_H_N_10,1435,T1,H1
M1,S8_H_T_9,1437,T1,H1
M1,S8_H_T_10,1438,T1,H1
M1,S8_H_N_10,1439,T1,H1
M1,S8_H_N_9,1440,T1,H1
M1,K10_H_N_9,1442,T1,H1
M1,K10_H_N_10,1443,T1,H1
M1,K10_H_T_9,1444,T1,H1
M1,K10_H_T_10,1445,T1,H1
M1,S10_H_T_9,1447,T1,H1
M1,S10_H_T_10,1448,T1,H1
M1,S10_H_N_9,1449,T1,H1
M1,S10_H_N_10,1450,T1,H1
M1,K12_H_N_9,1452,T1,H1
M1,K12_H_N_10,1453,T1,H1
M1,K12_H_T_9,1454,T1,H1
M1,K12_H_T_10,1455,T1,H1
M1,S12_H_N_9,1457,T1,H1
M1,S12_H_N_10,1458,T1,H1
M1,S12_H_T_9,1459,T1,H1
M1,S12_H_T_10,1460,T1,H1
M1,K8_H_T_9,1559,T2,H1
M1,K8_H_T_10,1560,T2,H1
M1,K8_H_N_9,1561,T2,H1
M1,K8_H_N_10,1562,T2,H1
M1,S8_H_T_9,1564,T2,H1
M1,S8_H_T_10,1565,T2,H1
M1,S8_H_N_10,1566,T2,H1
M1,S8_H_N_9,1567,T2,H1
M1,K10_H_N_9,1569,T2,H1
M1,K10_H_N_10,1570,T2,H1
M1,K10_H_T_9,1571,T2,H1
M1,K10_H_T_10,1572,T2,H1
M1,S10_H_T_9,1574,T2,H1
M1,S10_H_T_10,1575,T2,H1
M1,S10_H_N_9,1576,T2,H1
M1,S10_H_N_10,1577,T2,H1
M1,K12_H_N_9,1579,T2,H1
M1,K12_H_N_10,1580,T2,H1
M1,K12_H_T_9,1581,T2,H1
M1,K12_H_T_10,1582,T2,H1
M1,S12_H_N_9,1584,T2,H1
M1,S12_H_N_10,1585,T2,H1
M1,S12_H_T_9,1586,T2,H1
M1,S12_H_T_10,1587,T2,H1
M1,K8_H_T_9,1685,T3,H1
M1,K8_H_T_10,1686,T3,H1
M1,K8_H_N_9,1687,T3,H1
M1,K8_H_N_10,1688,T3,H1
M1,S8_H_T_9,1690,T3,H1
M1,S8_H_T_10,1691,T3,H1
M1,S8_H_N_10,1692,T3,H1
M1,S8_H_N_9,1693,T3,H1
M1,K10_H_N_9,1695,T3,H1
M1,K10_H_N_10,1696,T3,H1
M1,K10_H_T_9,1698,T3,H1
M1,K10_H_T_10,1699,T3,H1
M1,S10_H_T_9,1701,T3,H1
M1,S10_H_T_10,1702,T3,H1
M1,S10_H_N_9,1703,T3,H1
M1,S10_H_N_10,1704,T3,H1
M1,K12_H_N_9,1706,T3,H1
M1,K12_H_N_10,1707,T3,H1
M1,K12_H_T_9,1708,T3,H1
M1,K12_H_T_10,1709,T3,H1
M1,S12_H_N_9,1711,T3,H1
M1,S12_H_N_10,1712,T3,H1
M1,S12_H_T_9,1714,T3,H1
M1,S12_H_T_10,1715,T3,H1
M1,S8_H_N_11,1400,T1,H2
M1,S8_H_N_12,1401,T1,H2
M1,S8_H_T_11,1402,T1,H2
M1,S8_H_T_12,1403,T1,H2
M1,K8_H_T_11,1405,T1,H2
M1,K8_H_T_12,1406,T1,H2
M1,K8_H_N_11,1407,T1,H2
M1,K8_H_N_12,1408,T1,H2
M1,S10_H_N_12,1410,T1,H2
M1,S10_H_N_11,1411,T1,H2
M1,S10_H_T_11,1412,T1,H2
M1,S10_H_T_12,1413,T1,H2
M1,K10_H_T_12,1415,T1,H2
M1,K10_H_T_11,1416,T1,H2
M1,K10_H_N_12,1417,T1,H2
M1,K10_H_N_11,1418,T1,H2
M1,S12_H_T_12,1420,T1,H2
M1,S12_H_T_11,1421,T1,H2
M1,S12_H_N_12,1422,T1,H2
M1,S12_H_N_11,1423,T1,H2
M1,K12_H_N_12,1425,T1,H2
M1,K12_H_N_11,1427,T1,H2
M1,K12_H_T_11,1428,T1,H2
M1,K12_H_T_12,1429,T1,H2
M1,S8_H_N_11,1527,T2,H2
M1,S8_H_N_12,1528,T2,H2
M1,S8_H_T_11,1529,T2,H2
M1,S8_H_T_12,1530,T2,H2
M1,K8_H_T_11,1532,T2,H2
M1,K8_H_T_12,1533,T2,H2
M1,K8_H_N_11,1534,T2,H2
M1,K8_H_N_12,1535,T2,H2
M1,S10_H_N_12,1537,T2,H2
M1,S10_H_N_11,1538,T2,H2
M1,S10_H_T_11,1539,T2,H2
M1,S10_H_T_12,1540,T2,H2
M1,K10_H_T_12,1542,T2,H2
M1,K10_H_T_11,1543,T2,H2
M1,K10_H_N_12,1544,T2,H2
M1,K10_H_N_11,1545,T2,H2
M1,S12_H_T_12,1547,T2,H2
M1,S12_H_T_11,1548,T2,H2
M1,S12_H_N_12,1549,T2,H2
M1,S12_H_N_11,1550,T2,H2
M1,K12_H_N_12,1552,T2,H2
M1,K12_H_N_11,1553,T2,H2
M1,K12_H_T_11,1554,T2,H2
M1,K12_H_T_12,1555,T2,H2
M1,S8_H_N_11,1654,T3,H2
M1,S8_H_N_12,1655,T3,H2
M1,S8_H_T_11,1656,T3,H2
M1,S8_H_T_12,1657,T3,H2
M1,K8_H_T_11,1659,T3,H2
M1,K8_H_T_12,1660,T3,H2
M1,K8_H_N_11,1661,T3,H2
M1,K8_H_N_12,1662,T3,H2
M1,S10_H_N_12,1664,T3,H2
M1,S10_H_N_11,1665,T3,H2
M1,S10_H_T_11,1666,T3,H2
M1,S10_H_T_12,1667,T3,H2
M1,K10_H_T_12,1669,T3,H2
