Row,Column,Well,Plate,A562,Input,RandN,Rep,Fraction
C,2,C2,PH_A3,0.901,Un,98,C,C
D,2,D2,PH_A3,1.163,Un,99,C,C
E,2,E2,PH_A3,1.216,Un,100,C,C
F,2,F2,PH_A3,1.034,Un,101,C,C
G,2,G2,PH_A3,1.34,Un,102,C,C
H,2,H2,PH_A3,1.639,Un,103,C,C
A,3,A3,PH_A3,1.012,Un,104,C,C
B,3,B3,PH_A3,1.211,Un,105,C,C
C,3,C3,PH_A3,1.374,Un,106,C,C
D,3,D3,PH_A3,1.532,Un,107,C,C
E,3,E3,PH_A3,1.048,Un,108,C,C
F,3,F3,PH_A3,1.353,Un,109,C,C
G,3,G3,PH_A3,1.293,Un,110,C,C
H,3,H3,PH_A3,1.115,Un,111,C,C
A,4,A4,PH_A3,1.725,Un,112,C,C
B,4,B4,PH_A3,1.559,Un,113,C,C
C,4,C4,PH_A3,1.204,Un,114,C,C
D,4,D4,PH_A3,1.593,Un,115,C,C
E,4,E4,PH_A3,1.252,Un,116,C,C
F,4,F4,PH_A3,1.282,Un,117,C,C
G,4,G4,PH_A3,1.625,Un,118,C,C
H,4,H4,PH_A3,1.08,Un,119,C,C
A,5,A5,PH_A3,1.308,Un,120,C,C
B,5,B5,PH_A3,0.959,Un,121,C,C
C,5,C5,PH_A3,1.142,Un,122,C,C
D,5,D5,PH_A3,0.968,Un,123,C,C
E,5,E5,PH_A3,1.178,Un,124,C,C
F,5,F5,PH_A3,1.106,Un,125,C,C
G,5,G5,PH_A3,1.073,Un,126,C,C
H,5,H5,PH_A3,1.048,Un,127,C,C
A,6,A6,PH_A3,1.527,Un,128,C,C
B,6,B6,PH_A3,1.627,Un,129,C,C
C,6,C6,PH_A3,1.371,Un,130,C,C
D,6,D6,PH_A3,1.427,Un,131,C,C
E,6,E6,PH_A3,1.11,Un,132,C,C
F,6,F6,PH_A3,1.212,Un,133,C,C
G,6,G6,PH_A3,1.443,Un,134,C,C
H,6,H6,PH_A3,1.083,Un,135,C,C
A,7,A7,PH_A3,1.193,Un,136,C,C
B,7,B7,PH_A3,0.956,Un,137,C,C
C,7,C7,PH_A3,1.417,Un,138,C,C
D,7,D7,PH_A3,1.139,Un,139,C,C
E,7,E7,PH_A3,0.919,Un,140,C,C
F,7,F7,PH_A3,1.195,Un,141,C,C
G,7,G7,PH_A3,0.836,Un,142,C,C
H,7,H7,PH_A3,0.989,Un,143,C,C
A,8,A8,PH_A3,0.831,Un,144,C,C
B,8,B8,PH_A3,1.538,Un,145,C,C
C,8,C8,PH_A3,1.366,Un,146,C,C
D,8,D8,PH_A3,1.365,Un,147,C,C
E,8,E8,PH_A3,1.128,Un,148,C,C
F,8,F8,PH_A3,0.936,Un,149,C,C
G,8,G8,PH_A3,0.693,Un,150,C,C
H,8,H8,PH_A3,0.959,Un,151,C,C
A,9,A9,PH_A3,0.749,Un,152,C,C
B,9,B9,PH_A3,1.26,Un,153,C,C
C,9,C9,PH_A3,1.499,Un,154,C,C
D,9,D9,PH_A3,1.075,Un,155,C,C
E,9,E9,PH_A3,1.096,Un,156,C,C
F,9,F9,PH_A3,1.006,Un,157,C,C
G,9,G9,PH_A3,1.073,Un,158,C,C
H,9,H9,PH_A3,0.915,Un,159,C,C
A,10,A10,PH_A3,1.195,Un,160,C,C
B,10,B10,PH_A3,0.852,Un,161,C,C
C,10,C10,PH_A3,0.936,Un,162,C,C
D,10,D10,PH_A3,1.006,Un,163,C,C
E,10,E10,PH_A3,0.759,Un,164,C,C
F,10,F10,PH_A3,0.741,Un,165,C,C
G,10,G10,PH_A3,0.574,Un,166,C,C
H,10,H10,PH_A3,1.046,Un,167,C,C
A,11,A11,PH_A3,0.962,Un,168,C,C
B,11,B11,PH_A3,0.76,Un,169,C,C
C,11,C11,PH_A3,0.78,Un,170,C,C
D,11,D11,PH_A3,0.781,Un,171,C,C
E,11,E11,PH_A3,1.202,Un,172,C,C
F,11,F11,PH_A3,1.302,Un,173,C,C
G,11,G11,PH_A3,1.25,Un,174,C,C
H,11,H11,PH_A3,1.14,Un,175,C,C
A,12,A12,PH_A3,1.314,Un,176,C,C
B,12,B12,PH_A3,1.282,Un,177,C,C
C,12,C12,PH_A3,1.385,Un,178,C,C
D,12,D12,PH_A3,0.987,Un,179,C,C
E,12,E12,PH_A3,1.629,Un,180,C,C
F,12,F12,PH_A3,1.48,Un,181,C,C
G,12,G12,PH_A3,1.562,Un,182,C,C
H,12,H12,PH_A3,1.434,Un,183,C,C
A,1,A1,PH_B1,2.471,Standard,St_A,K,NA
B,1,B1,PH_B1,1.933,Standard,St_B,K,NA
C,1,C1,PH_B1,1.379,Standard,St_C,K,NA
D,1,D1,PH_B1,1.113,Standard,St_D,K,NA
E,1,E1,PH_B1,0.83,Standard,St_E,K,NA
F,1,F1,PH_B1,0.495,Standard,St_F,K,NA
G,1,G1,PH_B1,0.318,Standard,St_G,K,NA
H,1,H1,PH_B1,0.153,Standard,St_H,K,NA
A,2,A2,PH_B1,0.109,Standard,St_I,K,NA
B,2,B2,PH_B1,2.226,Un,184,A,C
C,2,C2,PH_B1,1.502,Un,185,A,C
D,2,D2,PH_B1,1.532,Un,186,A,C
E,2,E2,PH_B1,1.475,Un,187,A,C
F,2,F2,PH_B1,1.475,Un,188,A,C
G,2,G2,PH_B1,0.688,Un,189,A,C
H,2,H2,PH_B1,1.042,Un,190,A,C
A,3,A3,PH_B1,1.215,Un,191,A,C
B,3,B3,PH_B1,0.573,Un,192,A,C
C,3,C3,PH_B1,0.96,Un,193,A,C
D,3,D3,PH_B1,1.131,Un,194,A,C
E,3,E3,PH_B1,0.937,Un,195,A,C
F,3,F3,PH_B1,0.923,Un,196,A,C
G,3,G3,PH_B1,0.998,Un,197,A,C
H,3,H3,PH_B1,1.099,Un,198,A,C
A,4,A4,PH_B1,1.169,Un,199,A,C
B,4,B4,PH_B1,1.109,Un,200,A,C
C,4,C4,PH_B1,1.452,Un,201,A,C
D,4,D4,PH_B1,1.297,Un,202,A,C
E,4,E4,PH_B1,1.064,Un,203,A,C
F,4,F4,PH_B1,1.419,Un,204,A,C
G,4,G4,PH_B1,0.981,Un,205,A,C
H,4,H4,PH_B1,0.824,Un,206,A,C
A,5,A5,PH_B1,1.04,Un,207,A,C
B,5,B5,PH_B1,1.848,Un,208,A,C
C,5,C5,PH_B1,1.149,Un,209,A,C
D,5,D5,PH_B1,1.412,Un,210,A,C
E,5,E5,PH_B1,2.735,Un,211,A,C
F,5,F5,PH_B1,1.854,Un,212,A,C
G,5,G5,PH_B1,1.576,Un,213,A,C
H,5,H5,PH_B1,1.58,Un,214,A,C
A,6,A6,PH_B1,1.257,Un,215,A,C
B,6,B6,PH_B1,1.378,Un,216,A,C
C,6,C6,PH_B1,1,Un,217,A,C
D,6,D6,PH_B1,0.934,Un,218,A,C
E,6,E6,PH_B1,1.24,Un,219,A,C
F,6,F6,PH_B1,1.428,Un,220,A,C
G,6,G6,PH_B1,1.083,Un,221,A,C
H,6,H6,PH_B1,1.337,Un,222,A,C
A,7,A7,PH_B1,1.08,Un,223,A,C
B,7,B7,PH_B1,1.186,Un,224,A,C
C,7,C7,PH_B1,0.849,Un,225,A,C
D,7,D7,PH_B1,1.178,Un,226,A,C
E,7,E7,PH_B1,1.142,Un,227,A,C
F,7,F7,PH_B1,1.217,Un,228,A,C
G,7,G7,PH_B1,0.105,NA,NA,NA,NA
H,7,H7,PH_B1,0.856,Un,230,A,C
A,8,A8,PH_B1,0.912,Un,231,A,C
B,8,B8,PH_B1,0.869,Un,232,A,C
C,8,C8,PH_B1,1.323,Un,233,A,C
D,8,D8,PH_B1,1.158,Un,234,A,C
E,8,E8,PH_B1,1.023,Un,235,A,C
F,8,F8,PH_B1,0.937,Un,236,A,C
G,8,G8,PH_B1,1.053,Un,237,A,C
H,8,H8,PH_B1,1.153,Un,238,A,C
A,9,A9,PH_B1,1.36,Un,239,A,C
B,9,B9,PH_B1,1.221,Un,240,A,C
A,1,A1,PH_B2,2.431,Standard,St_A,L,NA
B,1,B1,PH_B2,1.734,Standard,St_B,L,NA
C,1,C1,PH_B2,1.461,Standard,St_C,L,NA
D,1,D1,PH_B2,1.122,Standard,St_D,L,NA
E,1,E1,PH_B2,0.73,Standard,St_E,L,NA
F,1,F1,PH_B2,0.487,Standard,St_F,L,NA
G,1,G1,PH_B2,0.313,Standard,St_G,L,NA
H,1,H1,PH_B2,0.149,Standard,St_H,L,NA
A,2,A2,PH_B2,0.113,Standard,St_I,L,NA
B,2,B2,PH_B2,2.386,Un,184,B,C
C,2,C2,PH_B2,1.708,Un,185,B,C
D,2,D2,PH_B2,2.309,Un,186,B,C
E,2,E2,PH_B2,2.481,Un,187,B,C
F,2,F2,PH_B2,2.303,Un,188,B,C
G,2,G2,PH_B2,0.646,Un,189,B,C
H,2,H2,PH_B2,1.141,Un,190,B,C
A,3,A3,PH_B2,1.173,Un,191,B,C
B,3,B3,PH_B2,0.584,Un,192,B,C
C,3,C3,PH_B2,1.019,Un,193,B,C
D,3,D3,PH_B2,1.208,Un,194,B,C
E,3,E3,PH_B2,1.062,Un,195,B,C
F,3,F3,PH_B2,1.001,Un,196,B,C
G,3,G3,PH_B2,1.008,Un,197,B,C
H,3,H3,PH_B2,1.11,Un,198,B,C
A,4,A4,PH_B2,1.169,Un,199,B,C
B,4,B4,PH_B2,1.081,Un,200,B,C
C,4,C4,PH_B2,1.486,Un,201,B,C
D,4,D4,PH_B2,1.346,Un,202,B,C
E,4,E4,PH_B2,1.101,Un,203,B,C
F,4,F4,PH_B2,1.478,Un,204,B,C
G,4,G4,PH_B2,1.017,Un,205,B,C
H,4,H4,PH_B2,0.87,Un,206,B,C
A,5,A5,PH_B2,0.954,Un,207,B,C
B,5,B5,PH_B2,1.68,Un,208,B,C
C,5,C5,PH_B2,0.976,Un,209,B,C
D,5,D5,PH_B2,1.272,Un,210,B,C
E,5,E5,PH_B2,1.594,Un,211,B,C
F,5,F5,PH_B2,1.555,Un,212,B,C
G,5,G5,PH_B2,1.359,Un,213,B,C
H,5,H5,PH_B2,1.538,Un,214,B,C
A,6,A6,PH_B2,1.36,Un,215,B,C
B,6,B6,PH_B2,1.505,Un,216,B,C
C,6,C6,PH_B2,1.085,Un,217,B,C
D,6,D6,PH_B2,0.966,Un,218,B,C
E,6,E6,PH_B2,1.305,Un,219,B,C
F,6,F6,PH_B2,1.612,Un,220,B,C
G,6,G6,PH_B2,1.197,Un,221,B,C
H,6,H6,PH_B2,1.436,Un,222,B,C
A,7,A7,PH_B2,1.025,Un,223,B,C
B,7,B7,PH_B2,1.192,Un,224,B,C
C,7,C7,PH_B2,0.834,Un,225,B,C
D,7,D7,PH_B2,1.219,Un,226,B,C
E,7,E7,PH_B2,1.328,Un,227,B,C
F,7,F7,PH_B2,1.217,Un,228,B,C
G,7,G7,PH_B2,0.108,NA,NA,NA,NA
H,7,H7,PH_B2,0.815,Un,230,B,C
A,8,A8,PH_B2,0.963,Un,231,B,C
B,8,B8,PH_B2,0.884,Un,232,B,C
C,8,C8,PH_B2,1.271,Un,233,B,C
D,8,D8,PH_B2,1.254,Un,234,B,C
E,8,E8,PH_B2,1.057,Un,235,B,C
F,8,F8,PH_B2,1,Un,236,B,C
G,8,G8,PH_B2,1.106,Un,237,B,C
H,8,H8,PH_B2,1.201,Un,238,B,C
A,9,A9,PH_B2,1.395,Un,239,B,C
B,9,B9,PH_B2,1.221,Un,240,B,C
A,1,A1,PH_B3,2.604,Standard,St_A,M,NA
B,1,B1,PH_B3,1.979,Standard,St_B,M,NA
C,1,C1,PH_B3,1.628,Standard,St_C,M,NA
D,1,D1,PH_B3,0.947,Standard,St_D,M,NA
E,1,E1,PH_B3,0.827,Standard,St_E,M,NA
F,1,F1,PH_B3,0.451,Standard,St_F,M,NA
G,1,G1,PH_B3,0.317,Standard,St_G,M,NA
H,1,H1,PH_B3,0.149,Standard,St_H,M,NA
A,2,A2,PH_B3,0.112,Standard,St_I,M,NA
B,2,B2,PH_B3,1.992,Un,184,C,C
C,2,C2,PH_B3,1.485,Un,185,C,C
D,2,D2,PH_B3,1.581,Un,186,C,C
E,2,E2,PH_B3,1.267,Un,187,C,C
F,2,F2,PH_B3,1.257,Un,188,C,C
G,2,G2,PH_B3,0.656,Un,189,C,C
H,2,H2,PH_B3,1.028,Un,190,C,C
A,3,A3,PH_B3,1.171,Un,191,C,C
B,3,B3,PH_B3,0.523,Un,192,C,C
C,3,C3,PH_B3,0.939,Un,193,C,C
D,3,D3,PH_B3,1.09,Un,194,C,C
E,3,E3,PH_B3,0.929,Un,195,C,C
F,3,F3,PH_B3,0.942,Un,196,C,C
G,3,G3,PH_B3,1.037,Un,197,C,C
H,3,H3,PH_B3,1.143,Un,198,C,C
A,4,A4,PH_B3,1.213,Un,199,C,C
B,4,B4,PH_B3,1.143,Un,200,C,C
C,4,C4,PH_B3,1.512,Un,201,C,C
D,4,D4,PH_B3,1.375,Un,202,C,C
E,4,E4,PH_B3,1.123,Un,203,C,C
F,4,F4,PH_B3,1.53,Un,204,C,C
G,4,G4,PH_B3,1.063,Un,205,C,C
H,4,H4,PH_B3,0.872,Un,206,C,C
A,5,A5,PH_B3,1.058,Un,207,C,C
B,5,B5,PH_B3,1.738,Un,208,C,C
C,5,C5,PH_B3,1.196,Un,209,C,C
D,5,D5,PH_B3,1.53,Un,210,C,C
E,5,E5,PH_B3,2.029,Un,211,C,C
F,5,F5,PH_B3,1.891,Un,212,C,C
G,5,G5,PH_B3,1.626,Un,213,C,C
H,5,H5,PH_B3,1.566,Un,214,C,C
A,6,A6,PH_B3,1.359,Un,215,C,C
B,6,B6,PH_B3,1.471,Un,216,C,C
C,6,C6,PH_B3,1.075,Un,217,C,C
D,6,D6,PH_B3,1.002,Un,218,C,C
E,6,E6,PH_B3,1.307,Un,219,C,C
F,6,F6,PH_B3,1.521,Un,220,C,C
G,6,G6,PH_B3,1.205,Un,221,C,C
H,6,H6,PH_B3,1.556,Un,222,C,C
A,7,A7,PH_B3,1.052,Un,223,C,C
B,7,B7,PH_B3,1.205,Un,224,C,C
C,7,C7,PH_B3,0.824,Un,225,C,C
D,7,D7,PH_B3,1.194,Un,226,C,C
E,7,E7,PH_B3,1.236,Un,227,C,C
F,7,F7,PH_B3,1.169,Un,228,C,C
G,7,G7,PH_B3,0.106,NA,NA,NA,NA
H,7,H7,PH_B3,0.877,Un,230,C,C
A,8,A8,PH_B3,0.992,Un,231,C,C
B,8,B8,PH_B3,0.921,Un,232,C,C
C,8,C8,PH_B3,1.316,Un,233,C,C
D,8,D8,PH_B3,1.29,Un,234,C,C
E,8,E8,PH_B3,1.072,Un,235,C,C
F,8,F8,PH_B3,1.026,Un,236,C,C
G,8,G8,PH_B3,1.124,Un,237,C,C
H,8,H8,PH_B3,1.232,Un,238,C,C
A,9,A9,PH_B3,1.347,Un,239,C,C
B,9,B9,PH_B3,1.262,Un,240,C,C
A,1,A1,PS_A1,2.546,Standard,St_A,N,NA
B,1,B1,PS_A1,1.94,Standard,St_B,N,NA
C,1,C1,PS_A1,1.373,Standard,St_C,N,NA
D,1,D1,PS_A1,1.083,Standard,St_D,N,NA
E,1,E1,PS_A1,0.81,Standard,St_E,N,NA
F,1,F1,PS_A1,0.482,Standard,St_F,N,NA
G,1,G1,PS_A1,0.3,Standard,St_G,N,NA
H,1,H1,PS_A1,0.146,Standard,St_H,N,NA
A,2,A2,PS_A1,0.105,Standard,St_I,N,NA
B,2,B2,PS_A1,1.525,Un,97,A,S
C,2,C2,PS_A1,0.862,Un,98,A,S
D,2,D2,PS_A1,1.118,Un,99,A,S
E,2,E2,PS_A1,1.312,Un,100,A,S
F,2,F2,PS_A1,1.034,Un,101,A,S
G,2,G2,PS_A1,1.323,Un,102,A,S
H,2,H2,PS_A1,1.637,Un,103,A,S
A,3,A3,PS_A1,0.816,Un,104,A,S
B,3,B3,PS_A1,1.4,Un,105,A,S
C,3,C3,PS_A1,1.139,Un,106,A,S
D,3,D3,PS_A1,1.253,Un,107,A,S
E,3,E3,PS_A1,1.179,Un,108,A,S
F,3,F3,PS_A1,1.121,Un,109,A,S
G,3,G3,PS_A1,1.25,Un,110,A,S
H,3,H3,PS_A1,0.948,Un,111,A,S
A,4,A4,PS_A1,1.598,Un,112,A,S
B,4,B4,PS_A1,1.528,Un,113,A,S
C,4,C4,PS_A1,1.744,Un,114,A,S
D,4,D4,PS_A1,2.416,Un,115,A,S
E,4,E4,PS_A1,1.594,Un,116,A,S
F,4,F4,PS_A1,1.527,Un,117,A,S
G,4,G4,PS_A1,1.793,Un,118,A,S
H,4,H4,PS_A1,1.001,Un,119,A,S
A,5,A5,PS_A1,1.623,Un,120,A,S
B,5,B5,PS_A1,1.098,Un,121,A,S
C,5,C5,PS_A1,1.28,Un,122,A,S
D,5,D5,PS_A1,0.955,Un,123,A,S
E,5,E5,PS_A1,1.216,Un,124,A,S
F,5,F5,PS_A1,1.013,Un,125,A,S
G,5,G5,PS_A1,1.159,Un,126,A,S
H,5,H5,PS_A1,0.826,Un,127,A,S
A,6,A6,PS_A1,1.889,Un,128,A,S
B,6,B6,PS_A1,2.086,Un,129,A,S
C,6,C6,PS_A1,1.25,Un,130,A,S
D,6,D6,PS_A1,1.174,Un,131,A,S
E,6,E6,PS_A1,1.394,Un,132,A,S
F,6,F6,PS_A1,1.202,Un,133,A,S
G,6,G6,PS_A1,1.241,Un,134,A,S
H,6,H6,PS_A1,1.022,Un,135,A,S
A,7,A7,PS_A1,1.24,Un,136,A,S
B,7,B7,PS_A1,1.107,Un,137,A,S
C,7,C7,PS_A1,1.269,Un,138,A,S
D,7,D7,PS_A1,1.17,Un,139,A,S
E,7,E7,PS_A1,1.123,Un,140,A,S
F,7,F7,PS_A1,1.162,Un,141,A,S
G,7,G7,PS_A1,0.985,Un,142,A,S
H,7,H7,PS_A1,1.014,Un,143,A,S
A,8,A8,PS_A1,0.823,Un,144,A,S
B,8,B8,PS_A1,1.803,Un,145,A,S
C,8,C8,PS_A1,1.498,Un,146,A,S
D,8,D8,PS_A1,1.554,Un,147,A,S
E,8,E8,PS_A1,0.933,Un,148,A,S
F,8,F8,PS_A1,1.032,Un,149,A,S
G,8,G8,PS_A1,0.88,Un,150,A,S
H,8,H8,PS_A1,1.15,Un,151,A,S
A,9,A9,PS_A1,0.856,Un,152,A,S
B,9,B9,PS_A1,1.65,Un,153,A,S
C,9,C9,PS_A1,1.801,Un,154,A,S
D,9,D9,PS_A1,1.332,Un,155,A,S
E,9,E9,PS_A1,1.101,Un,156,A,S
F,9,F9,PS_A1,1.101,Un,157,A,S
G,9,G9,PS_A1,1.013,Un,158,A,S
H,9,H9,PS_A1,0.783,Un,159,A,S
A,10,A10,PS_A1,1.235,Un,160,A,S
B,10,B10,PS_A1,0.804,Un,161,A,S
C,10,C10,PS_A1,1.161,Un,162,A,S
D,10,D10,PS_A1,1.249,Un,163,A,S
E,10,E10,PS_A1,0.833,Un,164,A,S
F,10,F10,PS_A1,0.757,Un,165,A,S
G,10,G10,PS_A1,0.781,Un,166,A,S
H,10,H10,PS_A1,1.087,Un,167,A,S
A,11,A11,PS_A1,0.946,Un,168,A,S
B,11,B11,PS_A1,0.862,Un,169,A,S
C,11,C11,PS_A1,0.866,Un,170,A,S
D,11,D11,PS_A1,0.839,Un,171,A,S
E,11,E11,PS_A1,1.171,Un,172,A,S
F,11,F11,PS_A1,1.33,Un,173,A,S
G,11,G11,PS_A1,1.409,Un,174,A,S
H,11,H11,PS_A1,1.068,Un,175,A,S
A,12,A12,PS_A1,1.243,Un,176,A,S
B,12,B12,PS_A1,1.249,Un,177,A,S
C,12,C12,PS_A1,1.267,Un,178,A,S
D,12,D12,PS_A1,1.072,Un,179,A,S
E,12,E12,PS_A1,1.707,Un,180,A,S
F,12,F12,PS_A1,1.366,Un,181,A,S
G,12,G12,PS_A1,1.38,Un,182,A,S
H,12,H12,PS_A1,1.253,Un,183,A,S
A,1,A1,PS_A2,2.546,Standard,St_A,O,NA
B,1,B1,PS_A2,2.013,Standard,St_B,O,NA
C,1,C1,PS_A2,1.4,Standard,St_C,O,NA
D,1,D1,PS_A2,1.101,Standard,St_D,O,NA
