"RandN","ID","TimeP","Site","Genotype","Orig","Origin","Set","Site.Orig","SA_cm2","TP_ug.cm2","AFDW_mg.cm2","Chl_ug.cm2"
"100","K10_N_16","TP2","KL","AC10","N","Native","TP2.KL.AC10.M.N","KL.N",29.2731752865912,597.707483207878,1.79345081242511,1.02446465201437
"101","K8_N_14","TP2","KL","AC8","N","Native","TP2.KL.AC8.M.N","KL.N",24.2241586385132,565.657971558451,1.82359274719113,1.31945759095151
"102","S12_T_13","TP2","SS","AC12","T","Transplant","TP2.SS.AC12.M.T","SS.T",27.4607077718965,708.509776621869,2.09098762045617,2.25832671594382
"103","S10_N_13","TP2","SS","AC10","N","Native","TP2.SS.AC10.M.N","SS.N",43.1256055774717,588.40228980386,1.59997753251365,1.3664117302069
"104","K12_T_16","TP2","KL","AC12","T","Transplant","TP2.KL.AC12.M.T","KL.T",20.1245297362277,632.287397417052,1.87830476018295,0.75817324429366
"105","K10_T_13","TP2","KL","AC10","T","Transplant","TP2.KL.AC10.M.T","KL.T",25.1735463843057,636.665956593907,1.76971489514781,1.15792981866762
"106","K8_T_16","TP2","KL","AC8","T","Transplant","TP2.KL.AC8.M.T","KL.T",27.9354016447928,569.781136785195,1.67529361471427,1.29378845020963
"107","S8_N_13","TP2","SS","AC8","N","Native","TP2.SS.AC8.M.N","SS.N",34.9263477729007,583.867410670274,1.77545045371488,1.63774429088885
"108","S10_T_13","TP2","SS","AC10","T","Transplant","TP2.SS.AC10.M.T","SS.T",20.1676837246728,744.984292491946,1.32712315233584,1.91840242347716
"109","K12_T_13","TP2","KL","AC12","T","Transplant","TP2.KL.AC12.M.T","KL.T",34.6674238422301,518.239601253433,1.32054808019029,0.806005953230431
"110","K12_N_15","TP2","KL","AC12","N","Native","TP2.KL.AC12.M.N","KL.N",25.2167003727508,779.74397198581,1.89755199104904,1.68185631108565
"111","K12_T_14","TP2","KL","AC12","T","Transplant","TP2.KL.AC12.M.T","KL.T",24.0515426847328,684.253747812003,1.76703842065721,1.01869764950889
"112","S8_T_15","TP2","SS","AC8","T","Transplant","TP2.SS.AC8.M.T","SS.T",38.1197429178388,745.832303222077,1.86911019189108,1.62102133794164
"113","S8_T_13","TP2","SS","AC8","T","Transplant","TP2.SS.AC8.M.T","SS.T",41.0110601436613,689.528646107016,2.05993211841068,1.77128413031838
"114","K10_N_13","TP2","KL","AC10","N","Native","TP2.KL.AC10.M.N","KL.N",27.8490936679025,731.858629994648,2.01658268199684,1.42858700565855
"115","S12_T_16","TP2","SS","AC12","T","Transplant","TP2.SS.AC12.M.T","SS.T",37.4724330911622,818.934006556853,2.17159637865075,3.18655849513444
"116","S12_N_16","TP2","SS","AC12","N","Native","TP2.SS.AC12.M.N","SS.N",25.8640101994275,971.213039406937,2.08784328430227,2.5248114850127
"117","S8_N_14","TP2","SS","AC8","N","Native","TP2.SS.AC8.M.N","SS.N",31.0856428012858,674.768042377645,1.70818407518353,1.69388594181348
"118","S12_T_15","TP2","SS","AC12","T","Transplant","TP2.SS.AC12.M.T","SS.T",35.8757355186931,865.182212512196,2.35186815768657,3.60220256945896
"119","K12_N_16","TP2","KL","AC12","N","Native","TP2.KL.AC12.M.N","KL.N",21.6780733202517,626.503516353215,1.66066418671851,1.06374767071469
"120","K12_N_14","TP2","KL","AC12","N","Native","TP2.KL.AC12.M.N","KL.N",34.235883957779,647.009089829997,1.91027636618506,1.3328588231072
"121","K8_N_13","TP2","KL","AC8","N","Native","TP2.KL.AC8.M.N","KL.N",27.9354016447928,601.467466130551,1.61085924491756,1.63589915695801
"122","K10_T_14","TP2","KL","AC10","T","Transplant","TP2.KL.AC10.M.T","KL.T",24.6125445345193,564.848906890365,1.50329844799701,1.15048378251259
"123","K8_N_15","TP2","KL","AC8","N","Native","TP2.KL.AC8.M.N","KL.N",27.8922476563477,502.663052199225,1.88762127199951,1.2498311512757
"124","S8_N_16","TP2","SS","AC8","N","Native","TP2.SS.AC8.M.N","SS.N",34.3653459231143,727.449818566521,1.9620055666208,2.4447714524578
"125","S10_N_16","TP2","SS","AC10","N","Native","TP2.SS.AC10.M.N","SS.N",20.3402996784533,605.299598120661,1.39378477447075,1.5057005296949
"126","S10_T_15","TP2","SS","AC10","T","Transplant","TP2.SS.AC10.M.T","SS.T",19.088834013545,705.715068754582,1.93306725669135,1.55985954819826
"127","K12_N_13","TP2","KL","AC12","N","Native","TP2.KL.AC12.M.N","KL.N",20.8581475397946,688.257521668851,2.06753739361191,0.892037510258364
"128","S10_N_14","TP2","SS","AC10","N","Native","TP2.SS.AC10.M.N","SS.N",28.6258654599145,847.331815184758,2.01740625382553,1.75591197654396
"129","S8_T_16","TP2","SS","AC8","T","Transplant","TP2.SS.AC8.M.T","SS.T",53.8709487003043,816.068074963638,2.22197683330057,2.53691281288365
"130","K8_T_15","TP2","KL","AC8","T","Transplant","TP2.KL.AC8.M.T","KL.T",28.3669415292439,537.598626174301,1.39599117371098,1.11623242736116
"131","K8_N_16","TP2","KL","AC8","N","Native","TP2.KL.AC8.M.N","KL.N",28.021709621683,631.461895169372,1.86462570290748,1.34206717485812
"132","S10_T_16","TP2","SS","AC10","T","Transplant","TP2.SS.AC10.M.T","SS.T",22.584307077599,718.919897906029,2.21392668051322,1.75692793512168
"133","K10_N_14","TP2","KL","AC10","N","Native","TP2.KL.AC10.M.N","KL.N",22.584307077599,690.223712045648,2.06160852489392,1.43525176819871
"134","S8_N_15","TP2","SS","AC8","N","Native","TP2.SS.AC8.M.N","SS.N",33.2001882350963,661.123211832421,1.95179616275486,2.05634978683132
"135","S10_T_14","TP2","SS","AC10","T","Transplant","TP2.SS.AC10.M.T","SS.T",28.1080175985732,658.718222763573,2.22000714853572,1.66660869989795
"136","S10_N_15","TP2","SS","AC10","N","Native","TP2.SS.AC10.M.N","SS.N",27.8922476563476,857.866736584966,2.21387680049323,1.77781298269504
"137","K12_T_15","TP2","KL","AC12","T","Transplant","TP2.KL.AC12.M.T","KL.T",22.4116911238186,736.656972994469,2.09154229999992,0.892242649436423
"138","S12_N_14","TP2","SS","AC12","N","Native","TP2.SS.AC12.M.N","SS.N",30.4814869630543,796.516065855108,2.13244190084245,1.92079704218384
"139","S8_T_14","TP2","SS","AC8","T","Transplant","TP2.SS.AC8.M.T","SS.T",26.8133979452199,684.394564119377,1.74539609249127,1.8339637557487
"140","S12_N_13","TP2","SS","AC12","N","Native","TP2.SS.AC12.M.N","SS.N",32.3802624546392,587.762386767598,1.86301763565097,1.7028373404089
"141","K8_T_14","TP2","KL","AC8","T","Transplant","TP2.KL.AC8.M.T","KL.T",34.279037946224,612.928997487045,1.65917725255954,0.916655927818843
"142","K10_N_15","TP2","KL","AC10","N","Native","TP2.KL.AC10.M.N","KL.N",22.8863849967148,676.492091545397,1.95050463436702,0.983234938001937
"143","K10_T_15","TP2","KL","AC10","T","Transplant","TP2.KL.AC10.M.T","KL.T",24.3104666154034,657.678030584466,1.48043229977313,0.956543274187888
"144","K8_T_13","TP2","KL","AC8","T","Transplant","TP2.KL.AC8.M.T","KL.T",19.9087597940022,687.761914113733,1.89665254846142,1.59220231000442
"145","S12_N_20","TP3","SS","AC12","N","Native","TP3.SS.AC12.M.N","SS.N",39.8027484671982,835.404735702775,2.30637339217047,1.78923699348778
"146","S10_N_20","TP3","SS","AC10","N","Native","TP3.SS.AC10.M.N","SS.N",25.8208562109823,831.740994233908,2.21623169783428,1.51259507743931
"147","S8_N_20","TP3","SS","AC8","N","Native","TP3.SS.AC8.M.N","SS.N",37.2998171373818,741.132978940985,2.02681958792322,1.73305139169745
"148","K10_T_19","TP3","KL","AC10","T","Transplant","TP3.KL.AC10.M.T","KL.T",29.9204851132679,547.731255405653,1.57049592685791,0.684297617139485
"149","K12_T_20","TP3","KL","AC12","T","Transplant","TP3.KL.AC12.M.T","KL.T",24.8714684651899,808.406828972917,2.23066844957905,1.45682002588811
"150","S10_T_17","TP3","SS","AC10","T","Transplant","TP3.SS.AC10.M.T","SS.T",20.253991701563,677.197519974943,2.19290106634008,1.29292982765363
"151","K8_T_17","TP3","KL","AC8","T","Transplant","TP3.KL.AC8.M.T","KL.T",29.8341771363776,643.241864418299,1.70408588001609,0.970095913858592
"152","S10_T_19","TP3","SS","AC10","T","Transplant","TP3.SS.AC10.M.T","SS.T",19.4340659211059,783.72036534498,2.27692960287552,1.25882047016376
"153","K8_N_17","TP3","KL","AC8","N","Native","TP3.KL.AC8.M.N","KL.N",28.7121734368047,846.652111969518,2.02701478270523,1.89796847389288
"154","S8_T_19","TP3","SS","AC8","T","Transplant","TP3.SS.AC8.M.T","SS.T",31.6897986395174,993.636608408047,2.72642944131108,2.12489674566848
"155","K10_T_18","TP3","KL","AC10","T","Transplant","TP3.KL.AC10.M.T","KL.T",35.7894275418029,545.315751407969,1.50184017157634,1.07782062980128
"156","K10_N_17","TP3","KL","AC10","N","Native","TP3.KL.AC10.M.N","KL.N",31.905568581743,604.290679120562,1.64485393405683,0.886763489603599
"157","S10_N_17","TP3","SS","AC10","N","Native","TP3.SS.AC10.M.N","SS.N",26.7702439567748,692.879898553795,1.85429763285509,1.56304589780964
"158","S8_N_17","TP3","SS","AC8","N","Native","TP3.SS.AC8.M.N","SS.N",40.0185184094238,761.684305020597,2.30518279203152,1.96817631263061
"159","S8_T_17","TP3","SS","AC8","T","Transplant","TP3.SS.AC8.M.T","SS.T",35.0126557497909,776.398730597574,2.13351425078475,1.83290209284919
"160","S8_N_18","TP3","SS","AC8","N","Native","TP3.SS.AC8.M.N","SS.N",33.4591121657669,753.01082403722,1.7932334756147,1.70201766615509
"161","K12_N_18","TP3","KL","AC12","N","Native","TP3.KL.AC12.M.N","KL.N",36.9114312413758,667.864203105064,1.87001689391623,1.1053499858403
"162","S12_T_19","TP3","SS","AC12","T","Transplant","TP3.SS.AC12.M.T","SS.T",61.163972747528,817.95795009031,2.17816132627491,2.55755923473195
"163","S10_N_19","TP3","SS","AC10","N","Native","TP3.SS.AC10.M.N","SS.N",36.0915054609187,628.519629369811,1.60009950437046,1.37839913754414
"164","K10_N_20","TP3","KL","AC10","N","Native","TP3.KL.AC10.M.N","KL.N",34.279037946224,600.998640495474,1.44257257387374,0.959687084906178
"165","K10_T_17","TP3","KL","AC10","T","Transplant","TP3.KL.AC10.M.T","KL.T",37.6450490449427,501.996302902554,1.3946057006679,0.785200198961383
"166","K8_N_20","TP3","KL","AC8","N","Native","TP3.KL.AC8.M.N","KL.N",35.2284256920165,472.212213718777,1.0450367643974,1.08616037328831
"167","K12_T_19","TP3","KL","AC12","T","Transplant","TP3.KL.AC12.M.T","KL.T",33.5454201426571,543.105462127007,1.27707448044521,1.07411980075877
"168","K12_T_17","TP3","KL","AC12","T","Transplant","TP3.KL.AC12.M.T","KL.T",28.2806335523536,622.338027396595,1.36135564037943,1.07585213547905
"169","S12_T_17","TP3","SS","AC12","T","Transplant","TP3.SS.AC12.M.T","SS.T",39.7595944787531,732.533911625215,1.92406388955701,2.72286479324764
"170","S8_T_20","TP3","SS","AC8","T","Transplant","TP3.SS.AC8.M.T","SS.T",34.66742384223,596.839634389221,1.51439000021824,1.44028584954088
"171","S8_N_19","TP3","SS","AC8","N","Native","TP3.SS.AC8.M.N","SS.N",26.1229341300981,796.571392926021,1.93699527579868,1.96394477528805
"172","S12_N_19","TP3","SS","AC12","N","Native","TP3.SS.AC12.M.N","SS.N",28.021709621683,720.62891070932,2.08838078725639,1.75162938531129
"173","S8_T_18","TP3","SS","AC8","T","Transplant","TP3.SS.AC8.M.T","SS.T",36.2641214146991,655.929583737023,2.0171452429108,1.48492452684946
"174","S12_T_20","TP3","SS","AC12","T","Transplant","TP3.SS.AC12.M.T","SS.T",36.9114312413758,1029.04481901392,2.92998662914946,2.17295014857328
"175","K12_T_18","TP3","KL","AC12","T","Transplant","TP3.KL.AC12.M.T","KL.T",46.0169228032942,691.235119152719,1.97427369031936,0.974041662707428
"176","K10_T_20","TP3","KL","AC10","T","Transplant","TP3.KL.AC10.M.T","KL.T",30.9130268475054,636.026295156941,1.53333415824419,0.672687281726931
"177","K10_N_18","TP3","KL","AC10","N","Native","TP3.KL.AC10.M.N","KL.N",32.5097244199745,705.544326646423,1.85944363043752,0.942917866789596
"178","K8_T_18","TP3","KL","AC8","T","Transplant","TP3.KL.AC8.M.T","KL.T",38.2492048831742,650.596179627453,1.74670297602421,1.16508513408611
"179","S10_T_20","TP3","SS","AC10","T","Transplant","TP3.SS.AC10.M.T","SS.T",17.6647523948564,801.802745131994,2.09796317387338,1.5101015515942
"180","S12_N_18","TP3","SS","AC12","N","Native","TP3.SS.AC12.M.N","SS.N",35.0989637266811,852.911538447463,2.36146573002648,2.15997697036573
"181","K8_N_18","TP3","KL","AC8","N","Native","TP3.KL.AC8.M.N","KL.N",31.8624145932978,847.522207541924,2.35512596762784,1.74565301186244
"182","K12_N_17","TP3","KL","AC12","N","Native","TP3.KL.AC12.M.N","KL.N",38.55128280229,671.572683154362,2.01004984444763,1.62346089288324
"183","K8_T_19","TP3","KL","AC8","T","Transplant","TP3.KL.AC8.M.T","KL.T",27.9785556332378,738.705270429059,1.95882163176761,1.00987688703632
"184","S12_N_17","TP3","SS","AC12","N","Native","TP3.SS.AC12.M.N","SS.N",39.8890564440884,1103.56283454037,2.80227235148264,2.22252487030534
"185","K12_N_19","TP3","KL","AC12","N","Native","TP3.KL.AC12.M.N","KL.N",32.4234164430842,812.425553054161,2.13965730976499,1.46766355575761
"186","K8_T_20","TP3","KL","AC8","T","Transplant","TP3.KL.AC8.M.T","KL.T",34.4516539000045,813.77043575313,2.01804535137254,1.85276155929314
"187","K8_N_19","TP3","KL","AC8","N","Native","TP3.KL.AC8.M.N","KL.N",33.6317281195474,710.151474187458,1.94816037305909,0.893556224443113
"188","K12_N_20","TP3","KL","AC12","N","Native","TP3.KL.AC12.M.N","KL.N",29.4457912403716,834.882629850275,2.38404189675001,1.6887727551305
"189","S10_N_18","TP3","SS","AC10","N","Native","TP3.SS.AC10.M.N","SS.N",20.9876095051299,526.269431438474,1.67718005194427,1.10291360215856
"190","S12_T_18","TP3","SS","AC12","T","Transplant","TP3.SS.AC12.M.T","SS.T",39.1554386405216,781.448728853448,1.84393286109893,3.58192045693294
"191","K10_N_19","TP3","KL","AC10","N","Native","TP3.KL.AC10.M.N","KL.N",35.1852717035714,681.249225552054,1.5247857243221,1.26708320010334
"192","S10_T_18","TP3","SS","AC10","T","Transplant","TP3.SS.AC10.M.T","SS.T",26.4250120492139,450.345321745866,1.54399172738365,0.784367980409301
"193","S8_T_24","TP4","SS","AC8","T","Transplant","TP4.SS.AC8.M.T","SS.T",45.4127669650627,720.005590812525,1.92897297069331,3.32343545849369
"194","K12_N_21","TP4","KL","AC12","N","Native","TP4.KL.AC12.M.N","KL.N",49.7281658095738,678.464846472492,1.7775640537094,1.93327198851745
