"RandN","ID","TimeP","Site","Genotype","Orig","Origin","Set","Site.Orig","SA_cm2","TP_ug.cm2","AFDW_mg.cm2","Chl_ug.cm2"
"195","S8_T_21","TP4","SS","AC8","T","Transplant","TP4.SS.AC8.M.T","SS.T",43.1256055774717,609.832379192028,1.71128031738416,2.84076706540203
"196","K12_N_22","TP4","KL","AC12","N","Native","TP4.KL.AC12.M.N","KL.N",30.7835648821701,500.042900191605,1.45077414428592,1.86433898152066
"197","S12_T_23","TP4","SS","AC12","T","Transplant","TP4.SS.AC12.M.T","SS.T",26.468166037659,692.637352353315,1.66615246168754,3.14164066178048
"198","K10_N_24","TP4","KL","AC10","N","Native","TP4.KL.AC10.M.N","KL.N",34.3653459231143,578.167066363683,1.61499902035529,1.27001486025038
"199","K12_T_21","TP4","KL","AC12","T","Transplant","TP4.KL.AC12.M.T","KL.T",29.4026372519265,662.06294375643,1.60274738610094,1.50557979841642
"200","K8_N_24","TP4","KL","AC8","N","Native","TP4.KL.AC8.M.N","KL.N",33.6748821079925,508.766355466673,1.23534211245617,1.37835869826698
"201","K8_N_21","TP4","KL","AC8","N","Native","TP4.KL.AC8.M.N","KL.N",32.3802624546392,708.75228537219,1.23532043806116,1.84944197875353
"202","K12_T_23","TP4","KL","AC12","T","Transplant","TP4.KL.AC12.M.T","KL.T",36.5661993338149,593.356647337491,1.7242699856338,1.57399185719517
"203","K8_T_22","TP4","KL","AC8","T","Transplant","TP4.KL.AC8.M.T","KL.T",38.939668698296,743.202538621388,2.71702363006057,2.28932867125038
"204","S10_T_22","TP4","SS","AC10","T","Transplant","TP4.SS.AC10.M.T","SS.T",48.9513940175617,796.371498051682,2.10412802469011,2.3822814924977
"205","S12_N_24","TP4","SS","AC12","N","Native","TP4.SS.AC12.M.N","SS.N",18.7436021059842,872.571266608149,2.43416392121524,3.46516016324297
"206","K10_T_23","TP4","KL","AC10","T","Transplant","TP4.KL.AC10.M.T","KL.T",16.5859026837287,722.438103621677,1.93718729771163,1.70700386586587
"207","K10_T_21","TP4","KL","AC10","T","Transplant","TP4.KL.AC10.M.T","KL.T",27.4607077718966,563.54000533371,1.52490607117037,1.09805375680056
"208","K12_T_22","TP4","KL","AC12","T","Transplant","TP4.KL.AC12.M.T","KL.T",35.4873496226872,872.7464268361,2.04255884901759,1.99327508963302
"209","K10_N_22","TP4","KL","AC10","N","Native","TP4.KL.AC10.M.N","KL.N",26.9428599105552,626.683560212487,1.71474001473393,1.26590867165657
"210","K10_N_21","TP4","KL","AC10","N","Native","TP4.KL.AC10.M.N","KL.N",32.1213385239685,744.186005399509,2.02357694252055,1.61818702836894
"211","S8_N_23","TP4","SS","AC8","N","Native","TP4.SS.AC8.M.N","SS.N",77.4761803797799,816.82412213059,2.44913983975289,2.81211720727602
"212","S10_T_24","TP4","SS","AC10","T","Transplant","TP4.SS.AC10.M.T","SS.T",47.4410044219828,852.163733798778,2.32393899208663,2.2281674110386
"213","S10_N_21","TP4","SS","AC10","N","Native","TP4.SS.AC10.M.N","SS.N",39.9322104325336,707.254260415891,1.84838252629927,2.01300568628619
"214","K12_N_24","TP4","KL","AC12","N","Native","TP4.KL.AC12.M.N","KL.N",29.7478691594874,873.172858874929,2.37193459543964,2.59225625830771
"215","K10_T_24","TP4","KL","AC10","T","Transplant","TP4.KL.AC10.M.T","KL.T",30.0931010670483,738.842071692203,1.79443121796211,1.38124847643284
"216","S8_T_22","TP4","SS","AC8","T","Transplant","TP4.SS.AC8.M.T","SS.T",63.7100580657896,844.276378091739,2.39444139012509,2.7782300844432
"217","K8_N_23","TP4","KL","AC8","N","Native","TP4.KL.AC8.M.N","KL.N",28.5827114714694,679.513581076667,1.62685755151029,1.83543876580894
"218","S8_N_21","TP4","SS","AC8","N","Native","TP4.SS.AC8.M.N","SS.N",19.9519137824473,761.573261494329,2.28674805321877,2.25901470696603
"219","S10_N_24","TP4","SS","AC10","N","Native","TP4.SS.AC10.M.N","SS.N",25.7345482340921,825.056516101205,2.28875204896627,2.10472032281151
"220","S12_N_21","TP4","SS","AC12","N","Native","TP4.SS.AC12.M.N","SS.N",50.8933234975917,939.922290690997,2.68895781597907,3.40402476056671
"221","K8_N_22","TP4","KL","AC8","N","Native","TP4.KL.AC8.M.N","KL.N",61.2502807244183,364.050818017998,0.930607979683526,1.17071300166977
"222","S8_T_23","TP4","SS","AC8","T","Transplant","TP4.SS.AC8.M.T","SS.T",31.517182685737,NA,NA,NA
"223","K8_T_21","TP4","KL","AC8","T","Transplant","TP4.KL.AC8.M.T","KL.T",25.2167003727508,639.632146407679,2.29213176766213,1.8527256134253
"224","K10_N_23","TP4","KL","AC10","N","Native","TP4.KL.AC10.M.N","KL.N",36.3504293915894,527.2694903427,1.6526627334394,0.822159476523677
"225","K12_N_23","TP4","KL","AC12","N","Native","TP4.KL.AC12.M.N","KL.N",32.8981103159806,559.142150184856,1.36785972105338,1.55908651005662
"226","S12_N_23","TP4","SS","AC12","N","Native","TP4.SS.AC12.M.N","SS.N",97.4996310183113,763.336765436992,2.05128981423978,3.59917601398335
"227","S10_N_22","TP4","SS","AC10","N","Native","TP4.SS.AC10.M.N","SS.N",38.5944367907351,558.781648649161,1.33853488470653,1.75228026688641
"228","S8_N_22","TP4","SS","AC8","N","Native","TP4.SS.AC8.M.N","SS.N",63.4079801466737,664.212121414928,1.74173660388696,2.4589098455117
"229","K8_T_24","TP4","KL","AC8","T","Transplant","TP4.KL.AC8.M.T","KL.T",45.3264589881724,NA,1.00934423339661,1.08349518352658
"230","S12_T_21","TP4","SS","AC12","T","Transplant","TP4.SS.AC12.M.T","SS.T",27.0723218758906,576.693757697341,1.47752380395648,4.08880087348223
"231","K10_T_22","TP4","KL","AC10","T","Transplant","TP4.KL.AC10.M.T","KL.T",29.8773311248227,417.752983867008,0.913234180322444,0.818890523759207
"232","S12_T_24","TP4","SS","AC12","T","Transplant","TP4.SS.AC12.M.T","SS.T",51.4974793358233,689.581270336892,1.62872049431855,3.84512282712037
"233","K12_T_24","TP4","KL","AC12","T","Transplant","TP4.KL.AC12.M.T","KL.T",38.4649748253998,586.976147311505,1.75484321272523,1.40597604908926
"234","S10_N_23","TP4","SS","AC10","N","Native","TP4.SS.AC10.M.N","SS.N",38.9828226867411,642.896839355511,1.68740987610354,1.76769634890423
"235","K8_T_23","TP4","KL","AC8","T","Transplant","TP4.KL.AC8.M.T","KL.T",38.0334349409487,465.916350275624,1.2379896812661,1.60775854442125
"236","S12_N_22","TP4","SS","AC12","N","Native","TP4.SS.AC12.M.N","SS.N",65.6088335573745,845.832562196018,2.13004853801873,3.10998009876571
"237","S10_T_21","TP4","SS","AC10","T","Transplant","TP4.SS.AC10.M.T","SS.T",40.0616723978689,581.787601219713,1.3853640319557,1.76239522151741
"238","S12_T_22","TP4","SS","AC12","T","Transplant","TP4.SS.AC12.M.T","SS.T",48.7787780637812,841.600893867607,2.28685515356991,3.48922229616849
"239","S10_T_23","TP4","SS","AC10","T","Transplant","TP4.SS.AC10.M.T","SS.T",41.5720619934478,494.791904171271,1.26286735568407,1.24207213989381
"240","S8_N_24","TP4","SS","AC8","N","Native","TP4.SS.AC8.M.N","SS.N",56.6328039607914,685.519828345926,2.03415674208461,2.90069338812417
"49","S12_N_5","TP1","SS","AC12","N","Native","TP1.SS.AC12.M.N","SS.N",27.0723218758906,1136.0015992836,2.72418451354476,1.792313328564
"50","K12_T_7","TP1","KL","AC12","T","Transplant","TP1.KL.AC12.M.T","KL.T",39.5438245365275,941.238878105465,2.13067403033241,1.52132199414424
"51","K8_N_8","TP1","KL","AC8","N","Native","TP1.KL.AC8.M.N","KL.N",32.4234164430843,760.880265436469,1.6963048942281,0.869407661470519
"52","K10_N_6","TP1","KL","AC10","N","Native","TP1.KL.AC10.M.N","KL.N",23.1884629158306,808.98596178552,1.88455785787191,0.743471731146831
"53","S10_T_7","TP1","SS","AC10","T","Transplant","TP1.SS.AC10.M.T","SS.T",13.3061995619002,575.126321576376,1.54063524334162,0.472336219726924
"54","S12_N_6","TP1","SS","AC12","N","Native","TP1.SS.AC12.M.N","SS.N",15.8954388686069,940.566413497807,2.07606724625727,1.6287439569304
"55","K12_N_8","TP1","KL","AC12","N","Native","TP1.KL.AC12.M.N","KL.N",19.4340659211059,912.478987771237,2.26072095146518,1.15457928830176
"56","S8_N_5","TP1","SS","AC8","N","Native","TP1.SS.AC8.M.N","SS.N",24.914622453635,981.985902074539,2.27697610532017,1.69715596046814
"57","K10_N_5","TP1","KL","AC10","N","Native","TP1.KL.AC10.M.N","KL.N",18.4846781753135,787.486999146498,2.40766972396829,0.671332759072476
"58","S10_N_8","TP1","SS","AC10","N","Native","TP1.SS.AC10.M.N","SS.N",14.9460511228144,969.010994760512,2.00454285575589,0.83224323922008
"59","K12_N_6","TP1","KL","AC12","N","Native","TP1.KL.AC12.M.N","KL.N",19.7792978286668,768.761333081676,1.73792822666225,0.815393792356568
"60","K10_N_8","TP1","KL","AC10","N","Native","TP1.KL.AC10.M.N","KL.N",17.4489824526308,675.086633934089,1.77947339246239,0.466204835845513
"61","S10_N_7","TP1","SS","AC10","N","Native","TP1.SS.AC10.M.N","SS.N",12.3136578276627,836.021801156592,2.12934291069033,1.08942120917667
"62","K12_T_8","TP1","KL","AC12","T","Transplant","TP1.KL.AC12.M.T","KL.T",35.6168115880225,916.166851094774,2.05689383000912,1.10138325838217
"63","S10_N_6","TP1","SS","AC10","N","Native","TP1.SS.AC10.M.N","SS.N",17.3195204872955,817.245290696072,1.89150733266724,0.88916607196466
"64","K10_T_7","TP1","KL","AC10","T","Transplant","TP1.KL.AC10.M.T","KL.T",19.3477579442157,682.976138329543,1.55056725882642,0.478008874551014
"65","S12_T_8","TP1","SS","AC12","T","Transplant","TP1.SS.AC12.M.T","SS.T",14.6008192152535,768.828580367478,2.05467923119403,1.52160411954535
"66","S12_T_7","TP1","SS","AC12","T","Transplant","TP1.SS.AC12.M.T","SS.T",23.749464765617,860.171327889124,1.58740419508651,1.07552739617862
"67","K8_T_6","TP1","KL","AC8","T","Transplant","TP1.KL.AC8.M.T","KL.T",17.0605965566248,702.097045611413,1.03161691571479,0.879410436608719
"68","K10_N_7","TP1","KL","AC10","N","Native","TP1.KL.AC10.M.N","KL.N",25.4756243034214,914.74824823526,1.44746207436604,0.608555580373008
"69","K12_N_7","TP1","KL","AC12","N","Native","TP1.KL.AC12.M.N","KL.N",15.2912830303753,865.99881995701,1.8343784458296,1.1358279506151
"70","K8_T_8","TP1","KL","AC8","T","Transplant","TP1.KL.AC8.M.T","KL.T",14.9028971343693,735.988159123777,1.6909463826254,0.885814340726755
"71","K8_T_7","TP1","KL","AC8","T","Transplant","TP1.KL.AC8.M.T","KL.T",18.8730640713195,930.25678292816,1.39484505009469,1.14701724734231
"72","K8_N_5","TP1","KL","AC8","N","Native","TP1.KL.AC8.M.N","KL.N",27.0291678874454,616.247453107118,1.1654076859181,0.666964668504407
"73","S10_T_5","TP1","SS","AC10","T","Transplant","TP1.SS.AC10.M.T","SS.T",19.6929898517766,694.604715760199,1.34311753568561,0.624861101638317
"74","S8_T_6","TP1","SS","AC8","T","Transplant","TP1.SS.AC8.M.T","SS.T",23.1884629158306,804.810725180878,1.75043943823847,1.06621211115814
"75","K8_N_6","TP1","KL","AC8","N","Native","TP1.KL.AC8.M.N","KL.N",14.6871271921438,787.756365031861,1.53706029127846,0.986244607982162
"76","S8_T_5","TP1","SS","AC8","T","Transplant","TP1.SS.AC8.M.T","SS.T",23.5768488118366,881.52549144563,1.16639845381685,1.0347509483294
"77","K10_T_5","TP1","KL","AC10","T","Transplant","TP1.KL.AC10.M.T","KL.T",25.6050862687568,811.447337415885,1.7633215340927,0.785894637838181
"78","K10_T_8","TP1","KL","AC10","T","Transplant","TP1.KL.AC10.M.T","KL.T",21.8938432624773,649.387604873192,1.40678818381725,0.548061229945472
"79","S12_N_7","TP1","SS","AC12","N","Native","TP1.SS.AC12.M.N","SS.N",31.7329526279625,1058.63503926291,1.64497771802054,1.48475310672738
"80","S12_T_5","TP1","SS","AC12","T","Transplant","TP1.SS.AC12.M.T","SS.T",13.2630455734551,865.989089893308,1.11135861807643,0.759933552027123
"81","K8_T_5","TP1","KL","AC8","T","Transplant","TP1.KL.AC8.M.T","KL.T",15.550206961046,781.176439995106,1.55303399244119,1.03378045322933
"82","S10_T_6","TP1","SS","AC10","T","Transplant","TP1.SS.AC10.M.T","SS.T",14.1261253423573,731.627312433792,1.7485332602803,0.614093847847668
"83","K12_N_5","TP1","KL","AC12","N","Native","TP1.KL.AC12.M.N","KL.N",18.8730640713195,982.125214090222,1.8253527816054,1.06355349918176
"84","K8_N_7","TP1","KL","AC8","N","Native","TP1.KL.AC8.M.N","KL.N",14.0398173654671,716.18021946345,1.74076338486523,1.1473235665411
"85","S8_N_6","TP1","SS","AC8","N","Native","TP1.SS.AC8.M.N","SS.N",15.4638989841558,768.307646040465,1.78092213536944,1.78274703089087
"86","S8_T_8","TP1","SS","AC8","T","Transplant","TP1.SS.AC8.M.T","SS.T",18.7004481175391,755.949575026345,1.66038801877044,1.25654475509394
"87","K12_T_6","TP1","KL","AC12","T","Transplant","TP1.KL.AC12.M.T","KL.T",27.5038617603417,899.2623261992,1.26800375539577,0.923839358320145
"88","S12_N_8","TP1","SS","AC12","N","Native","TP1.SS.AC12.M.N","SS.N",36.8682772529307,876.399721090274,1.99792356704557,1.49243742226368
"89","S8_N_8","TP1","SS","AC8","N","Native","TP1.SS.AC8.M.N","SS.N",22.584307077599,824.614618381178,1.4253259969144,1.89774452024306
"90","S10_N_5","TP1","SS","AC10","N","Native","TP1.SS.AC10.M.N","SS.N",14.7302811805889,749.936749829021,1.24641205248643,0.750963261623073
"91","S8_N_7","TP1","SS","AC8","N","Native","TP1.SS.AC8.M.N","SS.N",20.4266076553435,806.883472821549,1.91196701180009,1.51703669332617
"92","K12_T_5","TP1","KL","AC12","T","Transplant","TP1.KL.AC12.M.T","KL.T",33.2001882350963,845.8050198326,1.92288066404738,1.08146013347132
"93","K10_T_6","TP1","KL","AC10","T","Transplant","TP1.KL.AC10.M.T","KL.T",24.0946966731779,755.656992018357,1.44990412097153,0.850970524542502
"94","S10_T_8","TP1","SS","AC10","T","Transplant","TP1.SS.AC10.M.T","SS.T",19.9087597940022,700.431176100943,1.16981037117271,0.871576139324739
"95","S8_T_7","TP1","SS","AC8","T","Transplant","TP1.SS.AC8.M.T","SS.T",26.3387040723237,872.314081933117,1.52735576200361,1.39814902176713
"96","S12_T_6","TP1","SS","AC12","T","Transplant","TP1.SS.AC12.M.T","SS.T",10.8464222205289,894.569279511686,2.2265406517452,1.29338778398725
"97","S12_N_15","TP2","SS","AC12","N","Native","TP2.SS.AC12.M.N","SS.N",30.6109489283896,863.547661919123,2.0482867142302,1.68236927644664
"98","S12_T_14","TP2","SS","AC12","T","Transplant","TP2.SS.AC12.M.T","SS.T",15.8954388686069,756.114909175598,2.33148642867564,3.29855042695414
"99","K10_T_16","TP2","KL","AC10","T","Transplant","TP2.KL.AC10.M.T","KL.T",26.8133979452199,523.067531302237,1.43939235448076,0.760530986847023
